target_board,mean_rmse_all_source_sets,best_rmse,worst_rmse,mean_signed_error_all,mean_signed_error_high_ge80,mae_high_ge80,mae_low_mid_lt80,high_to_lowmid_mae_ratio,n_source_sets
B1,11.1058360591991,7.782573682593696,17.059493324832363,-5.986791666666667,-11.245972222222223,13.224861111111114,6.084047619047619,2.1736945433673807,15
B2,6.859121279999666,4.451562225780968,11.204103600913372,-1.1348749999999999,-6.827916666666667,8.388472222222223,4.072738095238095,2.0596640456773168,15
B5,4.6442220765429205,3.1689755836863123,9.522624375664515,-0.06650000000000024,-4.785833333333334,5.848055555555556,2.763928571428571,2.115849018678842,15
