board,coverage_limited_score,gain_mismatch_score,curvature_mismatch_score,intrinsic_deformation_score,high_concentration_compression_score,adaptation_responsiveness,likely_failure_mode
B1,0.04099757358241415,0.01028868683258316,0.06480184746017509,0.053355594379348434,0.021009766817851827,partial in prior Day3.5 evidence; persistent residuals likely,target-intrinsic deformation / compression candidate
B5,0.13700692562481176,0.041502481066065744,0.054571563853532595,0.09142769766698476,0.0651444755086209,high in prior Day3 evidence; not re-proven by Day5,mixed coverage and deformation evidence
