source_boards,n_source_boards,target_board,feature_set,model,n_train,n_test,rmse,mae,r2,includes_B5_source
B1,1,B5,raw,RandomForest,40,20,17.37011801917304,13.772499999999999,0.6342775757575758,False
B2,1,B1,raw,RandomForest,40,40,8.466803743148887,7.371875,0.9131069507575758,False
B2,1,B3,raw,RandomForest,40,40,8.337586206450881,7.23625,0.9157389772727272,False
B2,1,B4,raw,RandomForest,40,20,10.372043253380694,7.588750000000002,0.8696008712121213,False
B2,1,B5,raw,RandomForest,40,20,8.009868912785027,6.6225,0.9222327272727273,False
B3,1,B1,raw,RandomForest,40,40,10.100901878050296,7.49375,0.8763294318181818,False
B3,1,B2,raw,RandomForest,40,40,7.95414593152527,5.7475000000000005,0.9233109848484848,False
B3,1,B4,raw,RandomForest,40,20,8.192637701009364,5.757499999999999,0.9186432575757576,False
B3,1,B5,raw,RandomForest,40,20,11.331904628084372,8.215,0.8443490151515152,False
B4,1,B1,raw,RandomForest,20,40,13.506149640996876,11.688125000000001,0.7788896022727272,False
B4,1,B2,raw,RandomForest,20,40,12.031459413761905,10.215625,0.8245381628787879,False
B4,1,B3,raw,RandomForest,20,40,12.926073456390382,11.35125,0.797474696969697,False
B4,1,B5,raw,RandomForest,20,20,17.610241161040356,13.57875,0.62409625,False
B5,1,B1,raw,RandomForest,20,40,11.920151005754919,10.76875,0.8277696969696969,True
B5,1,B2,raw,RandomForest,20,40,8.411801605482621,6.63125,0.9142322348484848,True
B5,1,B3,raw,RandomForest,20,40,11.259086608157874,9.85875,0.8463429924242425,True
B5,1,B4,raw,RandomForest,20,20,12.035917601080527,9.8925,0.824408106060606,True
B1,1,B2,raw,XGBoost,40,40,13.290939489699376,9.478604912757874,0.7858799120983633,False
B1,1,B3,raw,XGBoost,40,40,10.389193883782493,7.374605441093445,0.8691692732668805,False
B1,1,B4,raw,XGBoost,40,20,4.798240531432968,3.369572114944458,0.9720931973363804,False
B1,1,B5,raw,XGBoost,40,20,15.613152876171082,11.59724850654602,0.7045205542609826,False
B2,1,B1,raw,XGBoost,40,40,8.39774209153849,7.246046352386474,0.9145187003200033,False
B2,1,B3,raw,XGBoost,40,40,10.617313107840431,8.167948722839355,0.8633608028728239,False
B2,1,B4,raw,XGBoost,40,20,7.913237901164241,5.385519123077392,0.9240977768722155,False
B2,1,B5,raw,XGBoost,40,20,9.17937875166176,6.466818523406983,0.8978654614952007,False
B3,1,B1,raw,XGBoost,40,40,10.610914879980324,8.508524465560914,0.8635254368603784,False
B3,1,B2,raw,XGBoost,40,40,9.023523685145848,6.952866506576538,0.9013042670346811,False
B3,1,B4,raw,XGBoost,40,20,7.762061524777552,6.245867443084717,0.9269701828915975,False
B3,1,B5,raw,XGBoost,40,20,11.736858265949426,7.966616153717041,0.8330256461151693,False
B4,1,B1,raw,XGBoost,20,40,8.17443746563536,6.496385478973389,0.9190043298429297,False
B4,1,B2,raw,XGBoost,20,40,8.761325569883493,6.282669949531555,0.9069565748587948,False
B4,1,B3,raw,XGBoost,20,40,12.571423436302664,10.681130814552308,0.8084355306487032,False
B4,1,B5,raw,XGBoost,20,20,14.1029566696996,10.078795099258423,0.7589171068758492,False
B5,1,B1,raw,XGBoost,20,40,11.953667389043698,9.641235208511352,0.8267998011540766,True
B5,1,B2,raw,XGBoost,20,40,8.629556288425867,6.278291654586792,0.9097342524422904,True
