source_boards,n_source_boards,target_board,feature_set,model,n_train,n_test,rmse,mae,r2,includes_B5_source,n_source_samples,n_target_samples,centroid_dist,cov_fro_dist,cov_fro_dist_norm,pca_centroid_dist,pca_cov_fro_dist,pca_explained_var
B4,1,B5,physics,RandomForest,20,20,9.522624375664515,7.402499999999999,0.890084393939394,False,20,20,6.718676860876915,43.08984364230363,0.5893176069032603,6.715696387365349,42.00624508627858,0.9416218034397019
B5,1,B1,physics,RandomForest,20,40,12.973677678283826,9.5875,0.7959802272727273,True,20,40,7.524696575266766,56.21564260232535,0.6525871329278892,7.49172091505614,54.46123516202941,0.915812399562626
B5,1,B2,physics,RandomForest,20,40,7.17576433211125,5.845000000000001,0.937585946969697,True,20,40,5.786626950006055,57.34863872589929,0.6360840383220622,5.756848056053197,54.82247114118821,0.9110082303037788
B5,1,B3,physics,RandomForest,20,40,6.514682935492716,5.191249999999999,0.94855625,True,20,40,5.779055531488689,55.45301435607752,0.6258036586783581,5.752378645553677,52.801426805160816,0.9014023261033272
B5,1,B4,physics,RandomForest,20,20,5.113346506936528,3.9349999999999996,0.9683075,True,20,20,6.718676860876915,43.08984364230363,0.5893176069032603,6.715696387365349,42.00624508627858,0.9416218034397019
B2+B3,2,B1,physics,RandomForest,80,40,10.454832913538123,7.15625,0.8675108712121212,False,80,40,6.140707812357704,17.80062890147803,0.2812733977944377,6.071681257979267,12.675168776328796,0.8171613946864008
B2+B4,2,B1,physics,RandomForest,60,40,8.025198595673505,6.53625,0.9219347727272728,False,60,40,6.2053866746081106,18.76722128636019,0.29030188049341776,6.050092947404011,13.758565963993606,0.8384805213145751
B2+B5,2,B1,physics,RandomForest,60,40,7.782573682593696,6.320625000000001,0.9265836931818182,True,60,40,5.751882272108318,29.6774503699136,0.4600729068042502,5.434761649038315,27.333112422419397,0.8736425192035118
B3+B4,2,B1,physics,RandomForest,60,40,13.946360412308294,10.161249999999999,0.76424125,False,60,40,6.4988988033453605,18.124326540041857,0.2963988441226171,6.449466788308305,12.024035492308853,0.8138523335544585
B3+B5,2,B1,physics,RandomForest,60,40,12.979962321786608,9.661875,0.795782518939394,True,60,40,5.899255996848153,29.517585077444128,0.468073854015216,5.873304664823829,27.829297107130703,0.8700228007453827
B4+B5,2,B1,physics,RandomForest,40,40,11.720414881735204,8.108749999999999,0.8334931818181818,True,40,40,6.229854721328229,37.14743242793181,0.5453363538720729,6.1264862805931335,34.79486171656202,0.8892164068312763
B2+B3+B4,3,B1,physics,RandomForest,100,40,10.589709775296015,7.125624999999999,0.8640703598484849,False,100,40,6.182661816942165,17.714208271849905,0.2876367296198492,6.095147631478391,11.82687110144367,0.7899391289264682
B2+B3+B5,3,B1,physics,RandomForest,100,40,8.961730266806741,6.588125000000001,0.9026513825757576,True,100,40,5.675703900644633,24.099497445300713,0.399977234208272,5.546975522707481,22.15271737081484,0.8418123576946493
B2+B4+B5,3,B1,physics,RandomForest,80,40,7.973502994293034,6.47625,0.9229372727272728,True,80,40,5.645156103824719,26.533218601550974,0.4343171382376278,5.469323661553984,24.200785221349737,0.8482533354094709
B3+B4+B5,3,B1,physics,RandomForest,80,40,13.942662720943945,10.14125,0.7643662499999999,True,80,40,5.809179796875101,26.258213177836414,0.43918756143282367,5.764980415558432,24.202369306119742,0.8397453664093129
B2+B3+B4+B5,4,B1,physics,RandomForest,120,40,9.752294601784753,6.9487499999999995,0.8847184848484848,True,120,40,5.671207473680805,22.791209394116443,0.3900590711012917,5.536537613177927,20.624454754348633,0.8199039451843625
B1+B3,2,B2,physics,RandomForest,80,40,5.846534764285594,4.633750000000001,0.9585673106060606,False,80,40,4.318324811068457,17.171209642924715,0.2667638913111824,3.230914045251063,13.582467008452596,0.8171613946864008
B1+B4,2,B2,physics,RandomForest,60,40,5.62643731636637,4.501875,0.9616281250000001,False,60,40,5.159538209642455,20.459258588383555,0.3060196732279337,4.9979467399199216,16.455345231225923,0.8384805213145751
B1+B5,2,B2,physics,RandomForest,60,40,4.451562225780968,3.22125,0.9759801136363636,True,60,40,4.017883567158093,31.89430921370188,0.4788716706212553,3.5588539515806317,30.307985157914963,0.8736425192035118
B3+B4,2,B2,physics,RandomForest,60,40,7.0442707216574245,5.652500000000001,0.9398524242424242,False,60,40,4.682771814447282,16.6677886565465,0.2553346320103798,3.8780545512255693,13.347459413900735,0.8027184206749166
B3+B5,2,B2,physics,RandomForest,60,40,9.110947227099935,7.078125,0.8993825946969697,True,60,40,3.9099361833227593,29.647437896337863,0.4486671891268718,3.483300772685614,28.023084923106442,0.8650814023178256
B4+B5,2,B2,physics,RandomForest,40,40,5.8157987950925545,4.704375000000001,0.9590017992424242,True,40,40,4.312083558001384,37.86642754186088,0.5280001756096395,3.6513677528848114,35.017287326123366,0.8575884630635968
B1+B3+B4,3,B2,physics,RandomForest,100,40,6.692701248374978,5.373749999999999,0.9457063636363636,False,100,40,4.221907301151868,16.7396484027936,0.26701953576457427,3.1016506334573335,13.11910933655998,0.7899391289264682
