metric,pearson_r,spearman_r,n
centroid_dist,0.5535760691766706,0.5826456578692211,20
pca_centroid_dist,0.5474706092229367,0.5826456578692211,20
pca_cov_fro_dist,-0.26994134188976443,-0.25056782177795517,20
cov_fro_dist,-0.2696138867908727,-0.25056782177795517,20
cov_fro_dist_norm,-0.2505039612651486,-0.1569822497885984,20
