target_board,source_boards,rmse,mae,r2
B5,B1+B2+B3+B4,3.5204314366281877,2.372500000000001,0.9849776515151515
B4,B1+B2+B3+B5,4.847202801616618,4.092499999999999,0.9715207575757576
B3,B1+B2+B4+B5,5.633028992025516,4.550625000000001,0.9615381628787879
B2,B1+B3+B4+B5,6.372039753877874,5.101875,0.950784375
B1,B2+B3+B4+B5,9.752294601784753,6.9487499999999995,0.8847184848484848
