board_pair,source_to_target,reverse,feature_set,model,rmse_forward,rmse_reverse,rmse_abs_asymmetry,rmse_signed_asymmetry
B1<->B3,B1->B3,B3->B1,combined,LinearRegression,147.9929705045745,142.8376313023259,5.155339202248598,5.155339202248598
B1<->B4,B1->B4,B4->B1,combined,LinearRegression,258.9315463221249,218.73075897117454,40.20078735095038,40.20078735095038
B1<->B5,B1->B5,B5->B1,combined,LinearRegression,648.1814005675842,37.975229914633374,610.2061706529508,610.2061706529508
B2<->B3,B2->B3,B3->B2,combined,LinearRegression,158.7668265747594,32.13114319831524,126.63568337644415,126.63568337644415
B2<->B4,B2->B4,B4->B2,combined,LinearRegression,92.49780376841656,56.53352244796171,35.96428132045485,35.96428132045485
B2<->B5,B2->B5,B5->B2,combined,LinearRegression,281.37232711689757,47.14409580512232,234.22823131177523,234.22823131177523
B3<->B4,B3->B4,B4->B3,combined,LinearRegression,120.88642090121476,292.2375383795496,171.35111747833486,-171.35111747833486
B3<->B5,B3->B5,B5->B3,combined,LinearRegression,126.4318454581893,23.566526955637464,102.86531850255184,102.86531850255184
B4<->B5,B4->B5,B5->B4,combined,LinearRegression,651.7112382515805,7.229788289097565,644.481449962483,644.481449962483
B1<->B2,B1->B2,B2->B1,combined,RandomForest,10.785645118628741,7.985786201120088,2.7998589175086535,2.7998589175086535
B1<->B3,B1->B3,B3->B1,combined,RandomForest,9.570225637360908,10.80258866545422,1.232363028093312,-1.232363028093312
B1<->B4,B1->B4,B4->B1,combined,RandomForest,7.365994501762813,14.541669114135418,7.175674612372605,-7.175674612372605
B1<->B5,B1->B5,B5->B1,combined,RandomForest,14.281075764801475,11.150910837236571,3.1301649275649037,3.1301649275649037
B2<->B3,B2->B3,B3->B2,combined,RandomForest,6.944757465167521,7.280971561199784,0.33621409603226304,-0.33621409603226304
B2<->B4,B2->B4,B4->B2,combined,RandomForest,4.976868367758985,10.76198096890159,5.785112601142605,-5.785112601142605
B2<->B5,B2->B5,B5->B2,combined,RandomForest,4.751881206427619,6.596389874393415,1.8445086679657958,-1.8445086679657958
B3<->B4,B3->B4,B4->B3,combined,RandomForest,3.9394360319720905,9.988353374055205,6.048917342083114,-6.048917342083114
B3<->B5,B3->B5,B5->B3,combined,RandomForest,4.2886951686964165,6.040131414133305,1.7514362454368886,-1.7514362454368886
B4<->B5,B4->B5,B5->B4,combined,RandomForest,11.906425523640584,5.983519031473034,5.92290649216755,5.92290649216755
B1<->B2,B1->B2,B2->B1,combined,XGBoost,12.959916898385273,9.53421447452842,3.425702423856853,3.425702423856853
B1<->B3,B1->B3,B3->B1,combined,XGBoost,10.638280459795178,14.513548897834458,3.8752684380392797,-3.8752684380392797
B1<->B4,B1->B4,B4->B1,combined,XGBoost,4.873769924027321,8.085073560722597,3.211303636695276,-3.211303636695276
B1<->B5,B1->B5,B5->B1,combined,XGBoost,13.920295886953667,10.36056333868351,3.5597325482701567,3.5597325482701567
B2<->B3,B2->B3,B3->B2,combined,XGBoost,6.604410196392467,11.53903447211168,4.934624275719213,-4.934624275719213
B2<->B4,B2->B4,B4->B2,combined,XGBoost,7.6999846187641205,8.94894061654658,1.248955997782459,-1.248955997782459
B2<->B5,B2->B5,B5->B2,combined,XGBoost,4.834105469117505,6.970310176610358,2.136204707492853,-2.136204707492853
B3<->B4,B3->B4,B4->B3,combined,XGBoost,14.382290077908776,11.344150846073756,3.0381392318350198,3.0381392318350198
B3<->B5,B3->B5,B5->B3,combined,XGBoost,8.092360541534216,19.751441780998395,11.659081239464179,-11.659081239464179
B4<->B5,B4->B5,B5->B4,combined,XGBoost,13.540505244402052,8.087569980036152,5.4529352643659,5.4529352643659
