source_boards,n_source_boards,target_board,feature_set,model,n_train,n_test,rmse,mae,r2,includes_B5_source,b5_source,source_log_volume,source_trace,source_effective_rank,source_radius95,target_containment_frac,target_mean_mahalanobis,target_p95_mahalanobis,target_mean_nn_dist,target_p95_nn_dist,centroid_dist_pca,pca_explained_variance_sum,n_pca_components
B1+B2+B5,3,B4,physics,RandomForest,100,20,6.676446472488192,5.6625000000000005,0.9459697727272727,True,True,18.204542217858375,78.58219706275702,7.92581040751082,16.226325021286673,1.0,2.290464748079027,2.917117379829183,5.363799573142611,5.81075437935499,5.287277672861114,0.9498756935188232,8
B1+B3+B4,3,B2,physics,RandomForest,100,40,6.692701248374978,5.373749999999999,0.9457063636363636,False,False,8.487072737408933,45.982965667456256,4.449101370266513,13.05434286148832,0.05,4.963577364784662,6.439336610623293,4.654975565899862,5.883084855983829,3.5832945365005426,0.9673113383727401,8
B1+B3+B4,3,B5,physics,RandomForest,100,20,3.224951550023659,2.2649999999999997,0.9873935606060606,False,False,6.2579543240722515,43.79100473671249,3.9772694370650865,11.684146285127818,0.0,12.696312179405245,42.87489519121824,9.537699724199898,27.392331861561413,7.216141662110753,0.9454152375222924,8
B1+B3+B5,3,B2,physics,RandomForest,100,40,5.331058759758703,4.186249999999999,0.9655512878787879,True,True,18.604922715351783,82.507014663478,7.9363350989804,13.920661602947481,1.0,1.8492619555817036,3.359147669274425,3.932342480925148,5.393508393344919,3.1456660244994024,0.9454265216816282,8
B1+B3+B5,3,B4,physics,RandomForest,100,20,4.124026400254973,3.6012500000000003,0.9793847348484849,True,True,18.559466050592306,82.14760138186435,7.9256697981680055,14.17830772123006,1.0,2.1259895319131723,2.8635588655810524,5.038271387462304,5.463863212213353,4.860415682087477,0.9454152375222924,8
B1+B4+B5,3,B2,physics,RandomForest,80,40,4.901417205768144,3.8468749999999994,0.9708801325757576,True,True,19.324951249744245,89.57358335631837,7.999999999936,15.918486523077252,1.0,1.9115722769949426,3.372962979683901,4.656942775867317,6.181645512372027,3.8055944775409327,0.9498756935188231,8
B1+B4+B5,3,B3,physics,RandomForest,80,40,5.49752501131191,4.6775,0.9633663257575757,True,True,19.305881576227247,89.36032026210432,7.999999999936,15.638695846786362,1.0,2.1540247304295286,3.106837580085586,5.561666713763509,6.801187130529716,4.537966745038396,0.9454152375222924,8
B2+B3+B4,3,B1,physics,RandomForest,100,40,10.589709775296015,7.125624999999999,0.8640703598484849,False,False,7.7408117904184195,41.24582525362773,4.421853026841021,12.495473030786076,0.0,6.938695245307576,9.570611848319107,4.961987688503077,7.088639423396539,5.472372719407965,0.96731133837274,8
B2+B3+B4,3,B5,physics,RandomForest,100,20,4.338137561212185,3.275,0.9771885606060606,False,False,5.011505454934411,38.71294200305108,3.8282990566118684,11.561235976368904,0.0,14.005548710728215,47.372659565846455,9.38829775297643,29.597138867046397,6.604267514669553,0.9356737674695597,8
B2+B3+B5,3,B1,physics,RandomForest,100,40,8.961730266806741,6.588125000000001,0.9026513825757576,True,True,17.987052227716724,75.97001980580913,7.9795919641096775,15.329774666303255,0.925,2.497865263809947,4.011603215601474,4.446616082296839,6.897759392725267,5.77177304035689,0.9454265216816281,8
B2+B3+B5,3,B4,physics,RandomForest,100,20,5.301859933080089,3.86625,0.9659276136363636,True,True,17.90445733247794,75.33242645564133,7.96414442883,15.073383987132411,1.0,2.232514019105026,3.218651366211617,4.711759127330848,5.295547979658029,4.985973569417371,0.9356737674695595,8
B2+B4+B5,3,B1,physics,RandomForest,80,40,7.973502994293034,6.47625,0.9229372727272728,True,True,18.80356960706205,83.92199551330931,7.999999999936,15.73792604727363,0.95,2.3266841887626346,3.952582209237289,4.176964902207971,6.346568822792775,5.630203622561362,0.9498756935188233,8
B2+B4+B5,3,B3,physics,RandomForest,80,40,5.252215306420711,3.9643749999999995,0.9665627083333334,True,True,18.779921427327523,83.67428650618193,7.999999999936,15.595526564384386,1.0,2.047602071125417,3.3405166471677448,4.165161935412208,5.763141113066533,3.570623584171276,0.9356737674695595,8
B3+B4+B5,3,B1,physics,RandomForest,80,40,13.942662720943945,10.14125,0.7643662499999999,True,True,18.925502329693117,85.2108976964764,7.999999999936,13.97562000732377,0.925,2.4407901654579747,4.113298412753491,5.864594415804639,7.0649078266411856,6.129014603606633,0.9454152375222924,8
B3+B4+B5,3,B2,physics,RandomForest,80,40,9.314222994968501,7.138749999999999,0.8948427272727273,True,True,18.876604010264458,84.69165248989032,7.999999999936,13.380097213817841,0.95,1.9569894287096343,3.623744002931677,3.8096164115929314,5.291274570096051,3.7666671683679347,0.9356737674695597,8
B1+B2+B3+B4,4,B5,physics,RandomForest,140,20,3.5204314366281877,2.372500000000001,0.9849776515151515,False,False,6.330333844940601,42.6541034729367,4.090178532415446,11.72438215894279,0.0,13.680877476906199,43.067298696070424,9.048050394102823,26.309331590766693,6.8890895122883755,0.9282995820946266,8
B1+B2+B3+B5,4,B4,physics,RandomForest,140,20,4.847202801616618,4.092499999999999,0.9715207575757576,True,True,16.691213850090193,68.88785124683767,7.467349338297487,14.396643489346802,1.0,2.491956202022379,3.076682700478741,4.987769042549944,5.479487017503162,4.871703542757821,0.9282995820946265,8
B1+B2+B4+B5,4,B3,physics,RandomForest,120,40,5.633028992025516,4.550625000000001,0.9615381628787879,True,True,17.40952005627549,72.2710902151865,7.797469717016548,15.240545997772218,1.0,2.245253854612048,3.1055425853835104,4.286987722995859,5.736779795640232,4.0174686225654765,0.9282995820946266,8
B1+B3+B4+B5,4,B2,physics,RandomForest,120,40,6.372039753877874,5.101875,0.950784375,True,True,17.678747837851596,74.79932880995524,7.791426552760712,14.525603900589406,1.0,1.9313576469836498,3.289050827834543,3.887866107447492,5.289760964035844,3.231762516682484,0.9282995820946266,8
B2+B3+B4+B5,4,B1,physics,RandomForest,120,40,9.752294601784753,6.9487499999999995,0.8847184848484848,True,True,17.136516806296825,69.37216702704231,7.852163211818497,13.935240748210653,0.925,2.571382340295656,3.8651265373149473,4.499353295462963,6.5524442240313725,5.631242063846881,0.9282995820946269,8
