label,n,r2_in_sample,coef_centroid_dist,intercept,coef_cov_fro_dist,coef_cov_fro_dist_norm,coef_pca_centroid_dist,coef_pca_cov_fro_dist
centroid_only,75,0.08550937182066165,0.7905121393986874,2.523457994052344,,,,
covariance_only,75,0.1717809553301659,,8.699944456338503,-0.048567390903247805,,,
centroid_plus_covariance,75,0.4243242224128754,1.484940486553509,1.3220257427466553,-0.07455520193598744,,,
all_geometry_metrics,75,0.463262516915004,0.5573923834680354,0.23560308285540899,0.007835515684354161,8.86091448516046,0.7331648024578411,-0.13518306123893636
