source_boards,B1,B2,B3,B4,B5
B1,,4.8256250000000005,9.590625,8.202499999999999,7.287499999999999
B2,6.738749999999999,,6.695625,5.04,4.0225
B3,8.894375,6.038124999999999,,3.245000000000001,2.9787500000000016
B4,12.94875,8.36375,7.308750000000001,,7.402499999999999
B5,9.5875,5.845000000000001,5.191249999999999,3.9349999999999996,
