n_source_boards,includes_B5_source,rmse_mean,rmse_median,mae_mean,r2_mean,n
2,False,7.487902175976971,7.313987233594841,6.02453125,0.9241178109217172,12
2,True,7.014415680673082,6.581408874191192,5.513229166666666,0.9302831597222222,12
3,False,6.925587575463494,6.092540456254821,5.2665625,0.9359450662878788,4
3,True,6.920669664294991,5.634446458378429,5.426927083333333,0.9335055034722223,12
4,True,6.65114153732619,6.002534372951695,5.1734375,0.9421404450757576,4
