source_boards,rmse_mean,mae_mean,r2_mean
B2,6.609944085574156,5.62421875,0.9452195785984848
B3,7.068956569390363,5.2890625,0.9258467424242425
B5,7.94436786320608,6.1396875,0.9126074810606061
B1,8.392993663073447,7.476562499999999,0.9117201515151515
B4,11.675416529112232,9.0059375,0.8222049147727273
