target_board,mean_rmse,mean_centroid_dist,mean_cov_fro_dist,mean_pca_cov_fro_dist,n_splits
B1,11.1058360591991,6.263677852734558,25.37823637549528,21.833851770585422,15
B2,6.859121279999668,4.552486276427787,25.74059790794714,22.77831296339265,15
B3,6.527000063711365,4.871665226248151,25.62379199669027,21.562732046199347,15
B4,5.612241891866604,5.751514280550507,23.921813986609244,21.687669712417385,15
B5,4.644222076542921,6.556597600175179,79.52438082530558,75.71722859189188,15
