source_boards,source_tuple,target_board,source_count,rmse,mae,r2,includes_B5_source,source_trace,source_intrinsic_dim_95,source_volume_95,source_top5_volume,source_effective_rank,centroid_dist_full,centroid_dist_pca5,high_conc_source_trace,high_conc_centroid_dist
B2,"('B2',)",B1,1,8.160621912575046,6.738749999999999,0.9192778787878788,False,35.9659283150052,4,34.37951107768101,34.91042078608185,3.122723019112883,5.4806933079767495,4.704943353757777,19.520060561780088,6.676564543762178
B3,"('B3',)",B1,1,12.264504805535362,8.894375,0.8176750568181819,False,40.54113759390366,5,39.40546639541041,39.40546639541041,3.540377694742906,6.451880573498551,6.106538236311915,16.86374056605233,7.085007391439272
B4,"('B4',)",B1,1,17.059493324832363,12.94875,0.6472408333333333,False,27.93768557385736,4,26.896393807017954,27.2809298917657,2.1123676932928506,6.6872627523541155,5.367863042281256,2.765988773500886,7.662056564396927
B5,"('B5',)",B1,1,12.973677678283826,9.5875,0.7959802272727273,True,210.34727388629167,4,201.0880807549628,205.99211634557315,3.7859208274470495,8.94899076726111,8.57173790086963,241.04560676719007,10.784761939289591
B2+B3,"('B2', 'B3')",B1,2,10.454832913538123,7.15625,0.8675108712121212,False,42.36118220471193,6,40.89048320144919,40.021141242615236,4.247290776059575,5.594453345844848,5.1905249529001605,23.61903054319659,6.436452944097302
B2+B4,"('B2', 'B4')",B1,2,8.025198595673505,6.53625,0.9219347727272728,False,39.68033412996653,5,37.93884843930003,37.93884843930003,3.9033806227182235,5.304490463033762,4.818963351173326,21.495232034570233,6.456230838499121
B2+B5,"('B2', 'B5')",B1,2,7.782573682593696,6.320625000000001,0.9265836931818182,True,102.12642524269381,7,98.79190768763628,93.8332873240507,5.824733445807713,6.023591120613941,5.764216161087009,103.36911585664896,7.053204316162748
B3+B4,"('B3', 'B4')",B1,2,13.946360412308294,10.161249999999999,0.76424125,False,42.25662571565904,6,40.96879382859278,40.12029472642826,4.279477675248654,6.025279598781599,5.823893891109056,18.744981917486232,6.812068616775801
B3+B5,"('B3', 'B5')",B1,2,12.979962321786608,9.661875,0.795782518939394,True,105.95727209007242,7,101.8141441169457,96.48604691546268,6.01060808953945,6.573916576295448,6.379234271501461,102.35937363107587,7.268097434443375
B4+B5,"('B4', 'B5')",B1,2,11.720414881735204,8.108749999999999,0.8334931818181818,True,132.77211507518356,5,126.24174881932485,126.24174881932485,5.1334023300197105,6.792238436704089,6.57440440547727,138.41809082027117,7.8875861536735705
B2+B3+B4,"('B2', 'B3', 'B4')",B1,3,10.589709775296015,7.125624999999999,0.8640703598484849,False,43.213350106195,7,41.72050774423386,39.9107110512394,4.858980705181264,5.474897333329141,5.210784818759585,23.523642433442394,6.380686788022108
B2+B3+B5,"('B2', 'B3', 'B5')",B1,3,8.961730266806741,6.588125000000001,0.9026513825757576,True,81.31878517142249,8,77.80772911154308,70.84485187298125,6.855377323497137,5.829316632503517,5.60418505673446,73.51332493241236,6.604836838384181
B2+B4+B5,"('B2', 'B4', 'B5')",B1,3,7.973502994293034,6.47625,0.9229372727272728,True,88.99767324845561,8,85.94761055661542,77.32066841544358,6.609919744288769,5.697441959198701,5.534516253714381,84.39978728734268,6.700780150031742
B3+B4+B5,"('B3', 'B4', 'B5')",B1,3,13.942662720943945,10.14125,0.7643662499999999,True,91.4571579918084,8,87.82366871852784,80.12711509426086,6.772083894011696,6.1690274855226095,6.0876648922706265,82.95065066158722,6.91969207182636
B2+B3+B4+B5,"('B2', 'B3', 'B4', 'B5')",B1,4,9.752294601784753,6.9487499999999995,0.8847184848484848,True,75.75081811183918,9,72.50385699413397,63.34283149418999,7.434854501304755,5.671207473680777,5.536537613177883,65.35023561151122,6.496616373866774
B1,"('B1',)",B2,1,6.237779302363943,4.8256250000000005,0.9528364962121212,False,35.404482523209126,4,34.17911947391603,34.59826209501643,2.820748253342857,5.4806933079767495,4.704943353757777,8.906382057034445,6.676564543762178
B3,"('B3',)",B2,1,7.762180951575401,6.038124999999999,0.9269679356060606,False,40.54113759390366,5,39.40546639541041,39.40546639541041,3.540377694742906,4.2588603154177,3.329625390415711,16.86374056605233,4.882210737076748
B4,"('B4',)",B2,1,11.204103600913372,8.36375,0.8478400757575758,False,27.93768557385736,4,26.896393807017954,27.2809298917657,2.1123676932928506,5.529370331327511,2.264855699036802,2.765988773500886,5.849537044514902
B5,"('B5',)",B2,1,7.17576433211125,5.845000000000001,0.937585946969697,True,210.34727388629167,4,201.0880807549628,205.99211634557315,3.7859208274470495,6.853045023167748,5.206118137845206,241.04560676719007,9.183222059107319
B1+B3,"('B1', 'B3')",B2,2,5.846534764285594,4.633750000000001,0.9585673106060606,False,48.03056257292606,5,45.904700178395416,45.904700178395416,4.2684850065296205,3.698817977070302,2.699814122009211,25.419796838019543,4.653699115750565
B1+B4,"('B1', 'B4')",B2,2,5.62643731636637,4.501875,0.9616281250000001,False,42.50594269879235,5,40.89249546111902,40.89249546111902,3.6328359122729204,4.503219062964921,3.1724466286276307,20.38991703993857,5.298806091475847
B1+B5,"('B1', 'B5')",B2,2,4.451562225780968,3.22125,0.9759801136363636,True,109.24009320245806,6,104.54891236105944,101.62229969066473,5.656182913275596,4.2288927048243625,2.732125112752782,104.02603510658396,5.655200228584706
B3+B4,"('B3', 'B4')",B2,2,7.0442707216574245,5.652500000000001,0.9398524242424242,False,42.25662571565904,6,40.96879382859278,40.12029472642826,4.279477675248654,3.9911858043914266,2.9247239117214523,18.744981917486232,4.546064717499306
B3+B5,"('B3', 'B5')",B2,2,9.110947227099935,7.078125,0.8993825946969697,True,105.95727209007242,7,101.8141441169457,96.48604691546268,6.01060808953945,4.064118776824787,2.787236212571832,102.35937363107587,4.958948213024265
B4+B5,"('B4', 'B5')",B2,2,5.8157987950925545,4.704375000000001,0.9590017992424242,True,132.77211507518356,5,126.24174881932485,126.24174881932485,5.1334023300197105,4.743587747742349,2.8627067343935453,138.41809082027117,5.8291715021135735
B1+B3+B4,"('B1', 'B3', 'B4')",B2,3,6.692701248374978,5.373749999999999,0.9457063636363636,False,47.931430277503914,6,45.848426669314044,44.564255172752205,4.801716949050935,3.5860813586848996,2.418004372934334,25.887782857593432,4.369622566161214
B1+B3+B5,"('B1', 'B3', 'B5')",B2,3,5.331058759758703,4.186249999999999,0.9655512878787879,True,87.57017142797615,8,84.03975505913803,76.48044878795982,6.857450146244486,3.3990447948243103,1.936258514213211,76.49728567706615,4.461753959432084
B1+B4+B5,"('B1', 'B4', 'B5')",B2,3,4.901417205768144,3.8468749999999994,0.9708801325757576,True,94.70351096149525,7,90.67345732480531,84.88796919015542,6.431658548442597,3.838774046887382,2.0880834712520686,86.68927363652608,4.870767231261609
B3+B4+B5,"('B3', 'B4', 'B5')",B2,3,9.314222994968501,7.138749999999999,0.8948427272727273,True,91.4571579918084,8,87.82366871852784,80.12711509426086,6.772083894011696,3.8073645888796572,2.538525187043988,82.95065066158722,4.536967806349386
B1+B3+B4+B5,"('B1', 'B3', 'B4', 'B5')",B2,4,6.372039753877874,5.101875,0.950784375,True,80.846562769313,9,77.67977107575335,67.86113195602984,7.364312434046826,3.3495662712583667,1.8545682024120291,68.25406499414449,4.235691296567752
B1,"('B1',)",B3,1,10.385156925872616,9.590625,0.869270928030303,False,35.404482523209126,4,34.17911947391603,34.59826209501643,2.820748253342857,6.451880573498551,6.106538236311915,8.906382057034445,7.085007391439272
B2,"('B2',)",B3,1,7.389068149976693,6.695625,0.9338202083333333,False,35.9659283150052,4,34.37951107768101,34.91042078608185,3.122723019112883,4.2588603154177,3.329625390415711,19.520060561780088,4.882210737076748
B4,"('B4',)",B3,1,8.915444815038676,7.308750000000001,0.9036543560606061,False,27.93768557385736,4,26.896393807017954,27.2809298917657,2.1123676932928506,5.347105701861172,1.568606996227418,2.765988773500886,5.461996029456305
B5,"('B5',)",B3,1,6.514682935492716,5.191249999999999,0.94855625,True,210.34727388629167,4,201.0880807549628,205.99211634557315,3.7859208274470495,7.108673311415886,6.241444476103366,241.04560676719007,9.345856992081616
B1+B2,"('B1', 'B2')",B3,2,7.583703745532258,6.86875,0.930287803030303,False,42.838050701422524,5,40.92095288559521,40.92095288559521,3.929972550097808,4.729992312513688,4.319025844505082,25.2239110195258,5.086504416810501
B1+B4,"('B1', 'B4')",B3,2,7.606587400076331,6.7893750000000015,0.9298664583333334,False,42.50594269879235,5,40.89249546111902,40.89249546111902,3.6328359122729204,5.22915150893645,4.390552127184253,20.38991703993857,5.510292981783656
B1+B5,"('B1', 'B5')",B3,2,7.361955625036054,6.286875,0.9343049810606061,True,109.24009320245806,6,104.54891236105944,101.62229969066473,5.656182913275596,5.176779509913993,4.638682302738696,104.02603510658396,6.060774858744626
B2+B4,"('B2', 'B4')",B3,2,5.213259836704861,4.463125,0.967056875,False,39.68033412996653,5,37.93884843930003,37.93884843930003,3.9033806227182235,3.8507444122480674,2.6591743182576155,21.495232034570233,4.269815565811946
B2+B5,"('B2', 'B5')",B3,2,5.179083533792442,4.15,0.9674873863636364,True,102.12642524269381,7,98.79190768763628,93.8332873240507,5.824733445807713,4.3011445980965926,3.788549806946772,103.36911585664896,5.124970287858988
