source_boards,B1,B2,B3,B4,B5
B1,,0.9528364962121212,0.869270928030303,0.8983985606060606,0.9263746212121212
B2,0.9192778787878788,,0.9338202083333333,0.9589131060606061,0.9688671212121212
B3,0.8176750568181819,0.9269679356060606,,0.9801484090909091,0.9785955681818181
B4,0.6472408333333333,0.8478400757575758,0.9036543560606061,,0.890084393939394
B5,0.7959802272727273,0.937585946969697,0.94855625,0.9683075,
