target_board,source_boards,conc_regime,mean_abs_error,rmse,n
B5,B1+B2+B3,low ≤30,0.5916666666666668,0.7026734661277598,6
B5,B1+B2+B3,mid 40–70,1.799999999999999,2.0480173339110186,8
B5,B1+B2+B3,high ≥80,4.954166666666668,5.233396363739327,6
B5,B1+B2+B3+B4,low ≤30,0.5416666666666664,0.7213991035943044,6
B5,B1+B2+B3+B4,mid 40–70,1.1718750000000018,1.4808939445483615,8
B5,B1+B2+B3+B4,high ≥80,5.804166666666667,6.153615129878264,6
B5,B1+B2+B4,low ≤30,1.6666666666666654,2.2165100195276946,6
B5,B1+B2+B4,mid 40–70,1.8937500000000016,2.3351592558110483,8
B5,B1+B2+B4,high ≥80,6.062500000000003,6.1952518781187065,6
B5,B1+B3,low ≤30,1.3375000000000001,1.5853167401710828,6
B5,B1+B3,mid 40–70,1.2937500000000002,1.7018372425117514,8
B5,B1+B3,high ≥80,5.037499999999997,5.478128862424952,6
B5,B1+B3+B4,low ≤30,0.995833333333333,1.345323690913578,6
B5,B1+B3+B4,mid 40–70,1.2062499999999998,1.3765332360680584,8
B5,B1+B3+B4,high ≥80,4.945833333333333,5.507390867431389,6
B5,B1+B4,low ≤30,3.6999999999999997,3.93782406073879,6
B5,B1+B4,mid 40–70,5.006250000000001,5.150015169880572,8
B5,B1+B4,high ≥80,6.720833333333334,8.021747783369905,6
B5,B2,low ≤30,3.4874999999999994,3.7951312010697773,6
B5,B2,mid 40–70,4.5531250000000005,5.389450053113027,8
B5,B2,high ≥80,3.849999999999999,5.699488281123723,6
B5,B2+B3,low ≤30,1.0666666666666667,1.41222342424986,6
B5,B2+B3,mid 40–70,0.9375000000000009,1.1516292806281025,8
B5,B2+B3,high ≥80,5.054166666666667,5.772826069901407,6
B5,B2+B3+B4,low ≤30,0.8999999999999991,1.161177563223356,6
B5,B2+B3+B4,mid 40–70,2.8843749999999995,3.569915527712104,8
B5,B2+B3+B4,high ≥80,6.170833333333334,6.662636802848153,6
B5,B2+B4,low ≤30,1.6000000000000003,1.6596309830802753,6
B5,B2+B4,mid 40–70,3.0781249999999973,3.6149321397503416,8
B5,B2+B4,high ≥80,5.5125,5.808497726033242,6
B5,B3,low ≤30,2.391666666666667,2.6390497027023447,6
B5,B3,mid 40–70,1.1937500000000023,1.6327220369677145,8
B5,B3,high ≥80,5.9458333333333355,6.952929538451163,6
B5,B3+B4,low ≤30,1.3291666666666664,1.7706813660283438,6
B5,B3+B4,mid 40–70,2.2874999999999988,2.879344543468182,8
B5,B3+B4,high ≥80,4.445833333333333,4.816410748679976,6
B5,B4,low ≤30,6.145833333333333,6.799839152509418,6
B5,B4,mid 40–70,4.878124999999999,5.8046923368082135,8
B5,B4,high ≥80,12.024999999999999,14.529424168447509,6
