n_source_boards,includes_B5_source,rmse_mean,rmse_std,mae_mean,r2_mean
2,False,6.376909822780372,2.751082227086916,5.14267361111111,0.9420448937289563
2,True,7.014415680673082,3.011680151053274,5.513229166666666,0.9302831597222222
3,False,5.291150899096655,2.444896172318081,4.00828125,0.9597253267045455
3,True,6.920669664294991,2.7559438640127487,5.426927083333333,0.9335055034722223
4,False,3.5204314366281877,,2.372500000000001,0.9849776515151515
4,True,6.65114153732619,2.1591507784170476,5.1734375,0.9421404450757576
