target,source_boards,shots_per_conc,repeat,method,n_adapt,n_holdout,rmse,highconc_rmse
B1,B2+B3+B4+B5,2,3,rf_retraining,20,140,27.255580468349354,39.86739760172956
B1,B2+B3+B4+B5,2,3,rf_weighted_retraining,20,140,15.381878381383807,22.940168324389486
B1,B2+B3+B4+B5,2,4,no_adaptation,20,140,15.216671719344074,20.454917399816928
B1,B2+B3+B4+B5,2,4,mean_std_alignment,20,140,15.73665281863435,13.449973709828075
B1,B2+B3+B4+B5,2,4,linear_recalibration,20,140,14.74810992521147,13.793416211658554
B1,B2+B3+B4+B5,2,4,residual_ridge,20,140,27.54090711970158,30.658328019606238
B1,B2+B3+B4+B5,2,4,rf_retraining,20,140,26.474995690753133,33.06806152651971
B1,B2+B3+B4+B5,2,4,rf_weighted_retraining,20,140,16.084647121272912,16.75338550639619
B1,B2+B3+B4+B5,5,0,no_adaptation,50,110,15.292387069150692,20.0315565440072
B1,B2+B3+B4+B5,5,0,mean_std_alignment,50,110,14.920535969718049,13.14919439935684
B1,B2+B3+B4+B5,5,0,linear_recalibration,50,110,14.458752388613906,14.564734618351553
B1,B2+B3+B4+B5,5,0,residual_ridge,50,110,14.63329780055237,13.624960712444077
B1,B2+B3+B4+B5,5,0,rf_retraining,50,110,23.759107769868,33.69373349404422
B1,B2+B3+B4+B5,5,0,rf_weighted_retraining,50,110,12.233120714856142,14.144486498862316
B1,B2+B3+B4+B5,5,1,no_adaptation,50,110,15.804226635474908,21.146651536641002
B1,B2+B3+B4+B5,5,1,mean_std_alignment,50,110,15.254370903572163,14.73846328337843
B1,B2+B3+B4+B5,5,1,linear_recalibration,50,110,14.983790600856244,15.962983634597135
B1,B2+B3+B4+B5,5,1,residual_ridge,50,110,14.76628978134404,12.635182704816287
B1,B2+B3+B4+B5,5,1,rf_retraining,50,110,20.50481589157715,22.6937598032308
B1,B2+B3+B4+B5,5,1,rf_weighted_retraining,50,110,14.167112292456451,13.396849973989754
B1,B2+B3+B4+B5,5,2,no_adaptation,50,110,15.319685234423655,21.825322379513597
B1,B2+B3+B4+B5,5,2,mean_std_alignment,50,110,15.319420274437151,17.20806768137012
B1,B2+B3+B4+B5,5,2,linear_recalibration,50,110,14.610857205302258,18.896265075067227
B1,B2+B3+B4+B5,5,2,residual_ridge,50,110,14.83580218669007,17.58404825242635
B1,B2+B3+B4+B5,5,2,rf_retraining,50,110,24.24565982195618,28.225388552198158
B1,B2+B3+B4+B5,5,2,rf_weighted_retraining,50,110,14.043007534216471,19.46126256800264
B1,B2+B3+B4+B5,5,3,no_adaptation,50,110,15.913486811506772,21.10098150453067
B1,B2+B3+B4+B5,5,3,mean_std_alignment,50,110,15.259612039502658,14.487630217034502
B1,B2+B3+B4+B5,5,3,linear_recalibration,50,110,15.074461961423305,15.870299837914734
B1,B2+B3+B4+B5,5,3,residual_ridge,50,110,12.594602721672782,9.79148305663981
B1,B2+B3+B4+B5,5,3,rf_retraining,50,110,21.075819118486276,22.28584956668897
B1,B2+B3+B4+B5,5,3,rf_weighted_retraining,50,110,15.156806651758407,16.05813302858201
B1,B2+B3+B4+B5,5,4,no_adaptation,50,110,15.573195941045043,20.63977891075504
B1,B2+B3+B4+B5,5,4,mean_std_alignment,50,110,15.11759516494781,14.51465174168819
B1,B2+B3+B4+B5,5,4,linear_recalibration,50,110,14.686227880831714,15.816653881858217
B1,B2+B3+B4+B5,5,4,residual_ridge,50,110,13.403637694083175,10.904637465808054
B1,B2+B3+B4+B5,5,4,rf_retraining,50,110,21.631346502590898,26.12275154244185
B1,B2+B3+B4+B5,5,4,rf_weighted_retraining,50,110,15.309261407673619,14.807775052998407
B1,B2+B3+B4+B5,10,0,no_adaptation,100,60,14.724032579992027,19.114671321323375
B1,B2+B3+B4+B5,10,0,mean_std_alignment,100,60,15.665998392258132,13.673583662733872
B1,B2+B3+B4+B5,10,0,linear_recalibration,100,60,14.358466078111928,14.071641535157902
B1,B2+B3+B4+B5,10,0,residual_ridge,100,60,11.584014460313428,11.740813702973231
B1,B2+B3+B4+B5,10,0,rf_retraining,100,60,18.150681040176487,24.78808330779276
B1,B2+B3+B4+B5,10,0,rf_weighted_retraining,100,60,11.314424585620944,14.542933458564915
B1,B2+B3+B4+B5,10,1,no_adaptation,100,60,15.109694390798689,18.89249097598773
B1,B2+B3+B4+B5,10,1,mean_std_alignment,100,60,14.724053936889897,11.573183077124238
B1,B2+B3+B4+B5,10,1,linear_recalibration,100,60,14.470493457101517,13.03893679935019
B1,B2+B3+B4+B5,10,1,residual_ridge,100,60,12.444321223646305,11.489631528501835
B1,B2+B3+B4+B5,10,1,rf_retraining,100,60,15.539287127936225,20.89852762254134
B1,B2+B3+B4+B5,10,1,rf_weighted_retraining,100,60,12.906734532649857,9.88654778780206
B1,B2+B3+B4+B5,10,2,no_adaptation,100,60,15.996402590374291,22.016624873793287
B1,B2+B3+B4+B5,10,2,mean_std_alignment,100,60,15.538553641235174,15.726974248567322
