shots_per_conc,method,mean,std,count,sem
0,linear_recalibration,21.0232541139964,,1,
0,mean_std_alignment,21.0232541139964,,1,
0,no_adaptation,21.0232541139964,,1,
0,residual_ridge,21.0232541139964,,1,
0,rf_retraining,21.0232541139964,,1,
0,rf_weighted_retraining,21.0232541139964,,1,
1,linear_recalibration,14.640756987385704,2.1428147919114098,5,0.9582959075811958
1,mean_std_alignment,14.56531356405809,1.5115289416093298,5,0.6759762926793543
1,no_adaptation,21.006645218283165,0.25555225021003997,5,0.11428644065453684
1,residual_ridge,24.045665254971293,8.185494548651288,5,3.660664448047648
1,rf_retraining,34.20275730356426,3.625724319956137,5,1.621473209419224
1,rf_weighted_retraining,19.557364818024585,2.4507116355942338,5,1.09599156208768
2,linear_recalibration,14.79451679589618,2.055841838477876,5,0.9194004203649346
2,mean_std_alignment,14.300230859419292,1.200469550277211,5,0.536866303867689
2,no_adaptation,20.54219926720715,0.5984371806071819,5,0.2676292432201955
2,residual_ridge,23.44975020148964,7.54827471735093,5,3.375691076167938
2,rf_retraining,34.71110364179215,2.960525869936466,5,1.3239874188649277
2,rf_weighted_retraining,20.402985512586735,3.187340026829329,5,1.4254217934792766
5,linear_recalibration,16.222187409557772,1.6010395075054293,5,0.716006634688985
5,mean_std_alignment,14.819601464565617,1.4751960276038374,5,0.6597277195719673
5,no_adaptation,20.9488581750895,0.6647227799802433,5,0.29727306444569207
5,residual_ridge,12.908062438426915,3.00749183211366,5,1.3449912356763059
5,rf_retraining,26.6042965917208,4.665330188019234,5,2.0863990875785765
5,rf_weighted_retraining,15.573701424487023,2.383054047400137,5,1.0657341688085424
10,linear_recalibration,15.102531435758985,1.5697826196321376,5,0.702028129479031
10,mean_std_alignment,13.811082018511033,1.483877701178993,5,0.6636102820264695
10,no_adaptation,20.38586475290143,1.3639983854513775,5,0.609998622213848
10,residual_ridge,11.98681022617468,0.8868156780923852,5,0.3965960279454288
10,rf_retraining,19.280538424065767,4.656905937024753,5,2.0826316480019402
10,rf_weighted_retraining,11.685080061449202,1.775263936902982,5,0.7939221681837929
