target,source_boards,shots_per_conc,repeat,method,n_adapt,n_holdout,rmse,highconc_rmse
B5,B1+B2+B3+B4,2,3,rf_retraining,20,60,26.794364388112722,39.74001155659769
B5,B1+B2+B3+B4,2,3,rf_weighted_retraining,20,60,24.082708565521692,36.22912340529439
B5,B1+B2+B3+B4,2,4,no_adaptation,20,60,21.77027909980332,27.956299603130596
B5,B1+B2+B3+B4,2,4,mean_std_alignment,20,60,25.9188825806224,20.447224929603582
B5,B1+B2+B3+B4,2,4,linear_recalibration,20,60,24.97398561305983,28.186898035156865
B5,B1+B2+B3+B4,2,4,residual_ridge,20,60,87.08056932682774,98.56589518934173
B5,B1+B2+B3+B4,2,4,rf_retraining,20,60,25.45078766153599,29.462180193060984
B5,B1+B2+B3+B4,2,4,rf_weighted_retraining,20,60,17.221379907717207,18.822719067297893
B5,B1+B2+B3+B4,5,0,no_adaptation,50,30,30.10316463153556,40.72882033100831
B5,B1+B2+B3+B4,5,0,mean_std_alignment,50,30,35.79447657628038,47.07363877147962
B5,B1+B2+B3+B4,5,0,linear_recalibration,50,30,31.601829578427612,40.821860427473496
B5,B1+B2+B3+B4,5,0,residual_ridge,50,30,23.984753180830914,34.968830194131314
B5,B1+B2+B3+B4,5,0,rf_retraining,50,30,22.68677621026872,35.25029550703558
B5,B1+B2+B3+B4,5,0,rf_weighted_retraining,50,30,22.40033481892626,33.628462004530085
B5,B1+B2+B3+B4,5,1,no_adaptation,50,30,24.02718729203788,33.915105410421475
B5,B1+B2+B3+B4,5,1,mean_std_alignment,50,30,28.09547166329799,36.01231064587615
B5,B1+B2+B3+B4,5,1,linear_recalibration,50,30,23.694568710469852,31.04436720100974
B5,B1+B2+B3+B4,5,1,residual_ridge,50,30,19.487040909518644,21.06621623033368
B5,B1+B2+B3+B4,5,1,rf_retraining,50,30,16.374211883776724,17.34908472342967
B5,B1+B2+B3+B4,5,1,rf_weighted_retraining,50,30,18.18246000550673,24.325150831247953
B5,B1+B2+B3+B4,5,2,no_adaptation,50,30,22.925081788294673,34.404457075598025
B5,B1+B2+B3+B4,5,2,mean_std_alignment,50,30,25.175452439619953,35.45132839058252
B5,B1+B2+B3+B4,5,2,linear_recalibration,50,30,22.77197780114009,32.66812994650138
B5,B1+B2+B3+B4,5,2,residual_ridge,50,30,40.92255083886285,69.69212822895354
B5,B1+B2+B3+B4,5,2,rf_retraining,50,30,18.014423233743685,20.509633388444442
B5,B1+B2+B3+B4,5,2,rf_weighted_retraining,50,30,15.201973556088038,21.45998285641279
B5,B1+B2+B3+B4,5,3,no_adaptation,50,30,20.67972537696443,26.81365738242775
B5,B1+B2+B3+B4,5,3,mean_std_alignment,50,30,21.321305951371084,15.594549875343954
B5,B1+B2+B3+B4,5,3,linear_recalibration,50,30,22.7578557284237,24.98448789080781
B5,B1+B2+B3+B4,5,3,residual_ridge,50,30,36.066382948870206,20.255432995897223
B5,B1+B2+B3+B4,5,3,rf_retraining,50,30,15.281888335906368,18.390315486790968
B5,B1+B2+B3+B4,5,3,rf_weighted_retraining,50,30,12.757713715993916,14.134276698076128
B5,B1+B2+B3+B4,5,4,no_adaptation,50,30,19.728931272794952,25.67498512387322
B5,B1+B2+B3+B4,5,4,mean_std_alignment,50,30,20.32822790495506,18.128784275957848
B5,B1+B2+B3+B4,5,4,linear_recalibration,50,30,21.7268982941094,24.928712186394648
B5,B1+B2+B3+B4,5,4,residual_ridge,50,30,32.920491516654664,22.036679966941364
B5,B1+B2+B3+B4,5,4,rf_retraining,50,30,14.146619803043123,16.556021619092306
B5,B1+B2+B3+B4,5,4,rf_weighted_retraining,50,30,12.779903204873108,14.650559337065904
