shots_per_conc,method,mean,std,count,sem
0,linear_recalibration,15.380743972781355,,1,
0,mean_std_alignment,15.380743972781355,,1,
0,no_adaptation,15.380743972781355,,1,
0,residual_ridge,15.380743972781355,,1,
0,rf_retraining,15.380743972781355,,1,
0,rf_weighted_retraining,15.380743972781355,,1,
1,linear_recalibration,15.412610780641561,0.9311672731162427,5,0.4164306642222062
1,mean_std_alignment,16.32188343021746,1.365366077344472,5,0.6106102726228949
1,no_adaptation,15.389965215583786,0.19840456287099148,5,0.08872921792513355
1,residual_ridge,22.287249801151596,3.1906730082963475,5,1.4269123481048767
1,rf_retraining,28.76139609850812,1.515774318494061,5,0.6778748829402275
1,rf_weighted_retraining,17.64107424200021,1.6247006687613328,5,0.7265882276879418
2,linear_recalibration,14.601196330567442,0.26204054206872013,5,0.11718809298531031
2,mean_std_alignment,16.101556344930184,0.8117355500910537,5,0.3630191739513563
2,no_adaptation,15.149813734830522,0.25892776832801156,5,0.11579601824875017
2,residual_ridge,22.159950783044415,4.378914227766913,5,1.9583099761855627
2,rf_retraining,27.08411608298921,0.5510420899613011,5,0.24643351432340474
2,rf_weighted_retraining,15.818105936256895,0.6464424796917805,5,0.2890978656268697
5,linear_recalibration,14.762818007405485,0.25853668720694367,5,0.11562112145446525
5,mean_std_alignment,15.174306870435567,0.15996953528945773,5,0.07154055104725579
5,no_adaptation,15.580596338320214,0.2792939892816565,5,0.12490406914817631
5,residual_ridge,14.046726036868488,1.000837689849543,5,0.4475882217894859
5,rf_retraining,22.243349820895702,1.6633508143425482,5,0.743873098259914
5,rf_weighted_retraining,14.181861720192217,1.2286819372176379,5,0.5494832668689534
10,linear_recalibration,14.475519613304929,0.8426926686891425,5,0.37686361826592624
10,mean_std_alignment,15.234396290490912,0.5410069205137508,5,0.24194565011331443
10,no_adaptation,15.115937899319778,0.8633786036370725,5,0.38611464961026826
10,residual_ridge,12.185169655606078,0.7280068456853311,5,0.32557455900751997
10,rf_retraining,16.35474842164985,2.2518203515138575,5,1.0070446758204914
10,rf_weighted_retraining,11.344421204202195,1.224478415498806,5,0.5476033948073125
