target_board,source_boards,source_count,y_true,mean_signed_error,median_signed_error,mae,pred_mean,n
B1,B2+B3+B4+B5,4,20.0,-1.7937500000000002,-0.9875000000000007,2.89375,18.20625,4
B1,B2+B3+B4+B5,4,30.0,-3.875,-3.375,4.987500000000001,26.125,4
B1,B2+B3+B4+B5,4,40.0,-3.075,-2.5875000000000004,6.2625,36.925,4
B1,B2+B3+B4+B5,4,50.0,-4.043749999999999,-2.987499999999997,5.456250000000001,45.95625,4
B1,B2+B3+B4+B5,4,60.0,-5.168750000000001,-4.1875,7.456249999999999,54.83125,4
B1,B2+B3+B4+B5,4,70.0,-6.025,-4.462499999999999,8.762499999999998,63.975,4
B1,B2+B3+B4+B5,4,80.0,-5.237499999999999,-4.212499999999999,10.725000000000003,74.7625,4
B1,B2+B3+B4+B5,4,90.0,-8.056250000000002,-7.225000000000001,10.131249999999998,81.94375,4
B1,B2+B3+B4+B5,4,100.0,-12.2625,-9.225000000000001,12.2625,87.7375,4
B1,B2+B3+B5,3,10.0,0.5562500000000004,0.5375000000000005,0.5562500000000004,10.55625,4
B1,B2+B3+B5,3,20.0,-3.1124999999999994,-2.174999999999999,3.1124999999999994,16.8875,4
B1,B2+B3+B5,3,30.0,-4.106249999999998,-3.724999999999998,6.743750000000001,25.89375,4
B1,B2+B3+B5,3,40.0,-0.15625,0.25,6.78125,39.84375,4
B1,B2+B3+B5,3,50.0,-0.7624999999999993,-0.03750000000000142,4.612500000000001,49.2375,4
B1,B2+B3+B5,3,60.0,-2.9437500000000014,-2.75,6.431249999999999,57.05625,4
B1,B2+B3+B5,3,70.0,-5.424999999999999,-5.024999999999999,7.775,64.575,4
B1,B2+B3+B5,3,80.0,-5.006250000000001,-5.512500000000003,9.506250000000001,74.99375,4
B1,B2+B3+B5,3,90.0,-8.062500000000004,-7.212500000000006,8.95,81.9375,4
B1,B2+B3+B5,3,100.0,-11.412500000000001,-8.887500000000003,11.412500000000001,88.5875,4
B1,B2+B4,2,10.0,2.74375,2.7375,2.74375,12.74375,4
B1,B2+B4,2,20.0,-1.28125,-0.9874999999999989,1.78125,18.71875,4
B1,B2+B4,2,30.0,-2.625,-1.6624999999999996,3.362499999999999,27.375,4
B1,B2+B4,2,40.0,-2.0562500000000004,-1.3249999999999993,5.593749999999998,37.94375,4
B1,B2+B4,2,50.0,-2.8687500000000004,-1.6125000000000007,6.043750000000001,47.13125,4
B1,B2+B4,2,60.0,-1.6062500000000028,-1.3250000000000028,9.018749999999997,58.39375,4
B1,B2+B4,2,70.0,-0.5812500000000025,1.9624999999999986,10.993749999999997,69.41874999999999,4
B1,B2+B4,2,80.0,0.5812500000000007,2.5625,9.931250000000002,80.58125,4
B1,B2+B4,2,90.0,-2.212499999999995,-1.1999999999999957,6.300000000000001,87.78750000000001,4
B1,B2+B4,2,100.0,-9.59375,-8.362500000000004,9.59375,90.40625,4
B1,B2+B4+B5,3,10.0,0.3624999999999998,0.28749999999999964,0.3624999999999998,10.3625,4
B1,B2+B4+B5,3,20.0,-2.3874999999999997,-2.0250000000000004,2.3874999999999997,17.6125,4
B1,B2+B4+B5,3,30.0,-2.3,-0.33750000000000036,4.525000000000001,27.7,4
B1,B2+B4+B5,3,40.0,-0.8437499999999991,-0.08749999999999858,6.01875,39.15625,4
B1,B2+B4+B5,3,50.0,-0.5374999999999996,0.5124999999999993,6.4,49.4625,4
B1,B2+B4+B5,3,60.0,0.3999999999999986,0.32499999999999574,7.274999999999999,60.4,4
B1,B2+B4+B5,3,70.0,-0.42499999999999893,1.1750000000000007,10.312500000000002,69.575,4
B1,B2+B4+B5,3,80.0,0.07499999999999929,1.7999999999999972,10.8875,80.075,4
B1,B2+B4+B5,3,90.0,-2.381249999999998,-2.1624999999999943,7.243750000000002,87.61875,4
B1,B2+B4+B5,3,100.0,-9.349999999999998,-6.987499999999997,9.349999999999998,90.65,4
B1,B2+B5,2,10.0,1.09375,1.0125000000000002,1.09375,11.09375,4
B1,B2+B5,2,20.0,-2.5312500000000004,-2.0250000000000004,2.5312500000000004,17.46875,4
B1,B2+B5,2,30.0,-3.3625,-2.4124999999999996,4.8999999999999995,26.6375,4
B1,B2+B5,2,40.0,-2.1999999999999993,-1.4875000000000007,5.100000000000001,37.8,4
B1,B2+B5,2,50.0,0.6500000000000004,1.2250000000000014,7.5875,50.65,4
B1,B2+B5,2,60.0,2.375,2.8500000000000014,7.899999999999999,62.375,4
B1,B2+B5,2,70.0,1.6624999999999979,3.875,8.3625,71.6625,4
B1,B2+B5,2,80.0,3.4375,4.625,10.862500000000004,83.4375,4
B1,B2+B5,2,90.0,-1.1375000000000028,-0.9500000000000028,7.487499999999997,88.8625,4
B1,B2+B5,2,100.0,-7.381249999999998,-4.25,7.381249999999998,92.61875,4
B1,B3,1,10.0,2.1,2.3125,2.1,12.1,4
B1,B3,1,20.0,-1.80625,-0.875,2.55625,18.19375,4
B1,B3,1,30.0,-4.46875,-4.35,4.46875,25.53125,4
B1,B3,1,40.0,-5.23125,-4.15,5.79375,34.76875,4
B1,B3,1,50.0,-6.7125,-5.987500000000001,6.7125,43.2875,4
B1,B3,1,60.0,-9.850000000000001,-8.950000000000003,9.850000000000001,50.15,4
B1,B3,1,70.0,-10.368749999999997,-9.124999999999996,10.368749999999997,59.63125000000001,4
B1,B3,1,80.0,-12.45,-10.4875,12.45,67.55,4
B1,B3,1,90.0,-15.256249999999998,-12.962499999999999,15.256249999999998,74.74375,4
B1,B3,1,100.0,-19.3875,-18.0,19.3875,80.6125,4
B1,B3+B4,2,10.0,0.9312499999999999,0.9249999999999998,0.9312499999999999,10.93125,4
B1,B3+B4,2,20.0,-3.2625000000000006,-2.8375000000000004,3.4,16.737499999999997,4
B1,B3+B4,2,30.0,-6.0562499999999995,-6.1625,6.0562499999999995,23.94375,4
B1,B3+B4,2,40.0,-7.731249999999999,-6.800000000000001,7.731249999999999,32.26875,4
B1,B3+B4,2,50.0,-10.087499999999999,-9.162499999999998,10.087499999999999,39.9125,4
B1,B3+B4,2,60.0,-12.081249999999999,-11.075,12.081249999999999,47.91875,4
B1,B3+B4,2,70.0,-14.0875,-11.662500000000001,14.0875,55.9125,4
B1,B3+B4,2,80.0,-13.8,-12.462500000000002,13.8,66.2,4
B1,B3+B4,2,90.0,-14.8875,-13.737499999999997,14.8875,75.1125,4
