model_context,feature,importance_mean,importance_std
source_model,duration_s,0.0,0.0
source_model,s1_raw_min,0.007181697207190987,0.0015453690043265285
source_model,s1_raw_max,-1.3212441879087433e-05,1.5619202350076745e-05
source_model,s1_phys_baseline_mean,2.4489898989926706e-05,2.715526486267485e-05
source_model,s1_phys_minimum_response,0.006760674502298142,0.001705654600506409
source_model,s1_phys_normalized_response,0.06889200569126638,0.011086206412690962
source_model,s1_phys_rs_r0_min,0.08794098063786968,0.014867656723035593
source_model,s1_phys_response_magnitude,0.00023683188198123095,0.00012088013126998831
source_model,s1_phys_recovery_slope,0.00037349527326366316,0.0002845998140936961
source_model,s1_phys_derivative_min,4.1977580033381034e-06,8.402098152146659e-05
source_model,s1_phys_derivative_max,1.756459435629798e-05,2.9451164457338687e-05
source_model,s2_raw_min,0.0006831809914622927,0.00030641973317086137
source_model,s2_raw_max,0.0,0.0
source_model,s2_phys_baseline_mean,0.0,0.0
source_model,s2_phys_minimum_response,0.0010925074474908009,0.0003492373025715338
source_model,s2_phys_normalized_response,0.04176191110042224,0.00825441815933153
source_model,s2_phys_rs_r0_min,0.036283238493065625,0.007049628492867993
source_model,s2_phys_response_magnitude,0.00023402585377589602,6.0482251415209494e-05
source_model,s2_phys_recovery_slope,-0.00012392261570728924,6.872370973095876e-05
source_model,s2_phys_derivative_min,1.3194932125537573e-05,6.191308848969028e-05
source_model,s2_phys_derivative_max,2.6364939073292293e-05,1.6652215715162173e-05
source_model,s3_raw_min,0.0018636086376330047,0.0004769305148292982
source_model,s3_raw_max,1.7073846935167225e-06,6.0195859393049775e-06
source_model,s3_phys_baseline_mean,4.8920267489760416e-05,3.766314764810999e-06
source_model,s3_phys_minimum_response,0.001935164880236609,0.00034550959803134144
source_model,s3_phys_normalized_response,0.0020402191007295595,0.00023588389424964118
source_model,s3_phys_rs_r0_min,0.0015036706332505062,0.0002161592286922842
source_model,s3_phys_response_magnitude,-4.148566518354102e-05,2.987205461233884e-05
source_model,s3_phys_recovery_slope,6.402619114430352e-05,9.745119866020566e-05
source_model,s3_phys_derivative_min,-4.480487413817402e-05,4.990220423027695e-05
source_model,s3_phys_derivative_max,0.0001428582184276883,7.233443771643656e-05
